BourbonID;Bourbon;Aged;Proof;Corn;Rye;Barley;Wheat;Type;Style;Price Range;Distillery;Location;Website;Description
1792small;1792 Small Batch;8;93;75;15;10;0;Straight;Small Batch;3;Barton 1792 Distillery;Kentucky;http://www.1792bourbon.com/;"Sophisticated and complex. A distinctly different bourbon created with precise craftsmanship. Made from our signature “high rye” recipe and the marriage of select barrels chosen by our Master Distiller. 1792 Bourbon has an expressive and elegant flavor profile. Unmistakable spice mingles with sweet caramel and vanilla to create a bourbon that is incomparably brash and bold, yet smooth and balanced. Elevating whiskey to exceptional new heights, 1792 Bourbon is celebrated by connoisseurs worldwide."
1792single;1792 Single Barrel;8;98;75;15;10;0;Straight;Single Barrel;3;Barton 1792 Distillery;Kentucky;http://www.1792bourbon.com/single-barrel;"In order to create this unique bourbon, the finest barrels are selected and tasted from the best aging warehouses. Only those barrels deemed “exceptional” are then bottled individually, one by one. This preserves the distinct character of each barrel."
1792port;1792 Port Finish;8;88;75;15;10;0;Straight;Small Batch;3;Barton 1792 Distillery;Kentucky;http://www.1792bourbon.com/port-finish;"The marriage of expertly crafted bourbon whiskey and port wine barrels join together to create this distinct bourbon. 1792 Port Finish Bourbon delivers an elegant flavor profile like no other. This bourbon was aged for many years in new white oak barrels before spending another two years extracting the subtle, yet sweet flavors from port wine barrels. The rich vanilla characters of American oak mingle with the delicate fruit notes from port to create this magnificent whiskey."
1792sweet;1792 Sweet Wheat;8;91;75;0;10;15;Straight;Small Batch;3;Barton 1792 Distillery;Kentucky;http://www.1792bourbon.com/sweet-wheat;"Crafted with sweet and delicate wheat instead of the more traditional rye, this bourbon is quite distinctive from most. The soft wheat delivers a subtle and smooth taste with gentle layers of flavor. Each sip expresses a harmony of sweetness and dryness."
1792rye;1792 High Rye;8;94;63;27;10;0;Straight;Small Batch;3;Barton 1792 Distillery;Kentucky;http://www.1792bourbon.com/high-rye.html;"Bourbon by law must be made using a mash bill of at least 51% corn. Traditionally, bourbons use rye as the secondary gain in the mash bill. This signature recipe for 1792 High Rye Bourbon uses a much higher percentage of rye as the secondary grain than most bourbons do, creating a robust and full flavor."
1792full;1792 Full Proof;8;125;75;15;10;0;Straight;Small Batch;3;Barton 1792 Distillery;Kentucky;http://www.1792bourbon.com/full-proof.html;"Bourbon insiders have long acknowledged that full proof bourbon has a distinctively rich flavor. This bourbon underwent a distinct filtering process, forgoing the typical chill filtration, and only passing through a plate and frame filter. This allowed the bourbon to maintain a robust proof for bottling, as well as a full rich and bold flavor. Bottled at its original 125 barrel entry proof, just as it was years ago when the barrels were first filled, 1792 Full Proof Bourbon is exceptionally distinct."
ancient80;Ancient Age;3;80;80;15;5;0;Straight;Traditional;1;Buffalo Trace;Kentucky;http://www.buffalotracedistillery.com/brands/ancient-age;"Since 1946 this bourbon has been held in high regard. 80 proof and distilled from corn, rye and barley malt, it’s smooth and simple, yet robust in its own way. There is much to love about this bourbon that has withstood the test of time."
ancient90;Ancient Age 90;3;90;80;15;5;0;Straight;Traditional;1;Buffalo Trace;Kentucky;http://www.buffalotracedistillery.com/brands/ancient-age;"Ancient Age is one of the many top-quality bourbon brands produced at Buffalo Trace in Kentucky. A relatively dry style of bourbon, this can be drunk neat or will make a great addition to cocktails."
ancient10star;Ancient Ancient Age 10 Star;10;90;80;15;5;0;Straight;Traditional;2;Buffalo Trace;Kentucky;http://www.buffalotracedistillery.com/brands/ancient-age;"The classic flavor should be savored by all bourbon enthusiasts. Marked by its sweetness and heavy rye flavor, it’s an easy bourbon to sip."
angelsport;Angel's Envy Port Finish;6;86;72;18;10;0;Straight;Small Batch;3;Louisville Distilling Co.;Kentucky;http://www.angelsenvy.com/whiskey/port-finish/;"Angel’s Envy Kentucky Straight Bourbon is finished in port wine casks for an award-winning spirit. We guide each batch’s conditioning, blending our handcrafted bourbon in small batches of 8 to 12 barrels at a time.It’s typically aged for up to 6 years. While we lose about 5% of the spirit each year to evaporation, or 'the ;Angel’s Share', what’s left behind after we’re done is truly worthy of envy.Once it’s deemed ready, we finish our bourbon in ruby port wine casks, which adds subtly distinct flavor nuances that enhance the whiskey without challenging it. Our port finishing process lasts between three to six months, depending on taste. We use 60-gallon ruby port barrels made from French oak and imported directly from Portugal. This creates a whiskey of unprecedented smoothness, sweetness and balance."
